Data/Ora,N Bici,Tag Bici,Stazione,Badge,Azione,Dismessa,Col.,Comune
30/09/2022 23:44,204,4194E4BE6,06. Ponte di Mezzo,,Prelievo senza autorizzazione,,9,Parma
30/09/2022 23:41,179,418DD6928,17. Rondani,20230312,Riconsegna diretta,,6,Parma
30/09/2022 23:36,133,418721FCC,14. Garibaldi,20228749,Riconsegna diretta,,10,Parma
30/09/2022 23:33,179,418DD6928,38. Stazione FF.SS. 2,20230312,Prelievo corretto,,2,Parma
30/09/2022 23:32,179,418DD6928,38. Stazione FF.SS. 2,20230312,Richiesta prelievo,,2,Parma
30/09/2022 23:32,317,000B7724B,38. Stazione FF.SS. 2,20230312,Errore colonnina durante il prelievo,,7,Parma
30/09/2022 23:32,317,000B7724B,38. Stazione FF.SS. 2,20230312,Richiesta prelievo,,7,Parma
30/09/2022 23:30,133,418721FCC,08. Bixio,20228749,Prelievo corretto,,8,Parma
30/09/2022 23:30,133,418721FCC,08. Bixio,20228749,Richiesta prelievo,,8,Parma
30/09/2022 23:27,204,4194E4BE6,06. Ponte di Mezzo,,Prelievo senza autorizzazione,,9,Parma
30/09/2022 23:20,204,4194E4BE6,06. Ponte di Mezzo,,Prelievo senza autorizzazione,,9,Parma
30/09/2022 23:17,204,4194E4BE6,06. Ponte di Mezzo,,Prelievo senza autorizzazione,,9,Parma
30/09/2022 23:17,204,4194E4BE6,06. Ponte di Mezzo,,Prelievo senza autorizzazione,,9,Parma
30/09/2022 23:17,94,418720B38,06. Ponte di Mezzo,222490,Errore colonnina durante il deposito,,5,Parma
30/09/2022 23:16,267,419F6D653,06. Ponte di Mezzo,20173443,Riconsegna diretta,,3,Parma
30/09/2022 23:16,197,4194E42C9,11. Dus,952398,Riconsegna diretta,,3,Parma
30/09/2022 23:11,94,418720B38,35. Marsala,222490,Prelievo corretto,,6,Parma
30/09/2022 23:11,94,418720B38,35. Marsala,222490,Richiesta prelievo,,6,Parma
30/09/2022 23:10,42,417A7969D,06. Ponte di Mezzo,251212,Riconsegna diretta,,6,Parma
30/09/2022 23:10,267,419F6D653,35. Marsala,20173443,Prelievo corretto,,2,Parma
30/09/2022 23:10,267,419F6D653,35. Marsala,20173443,Richiesta prelievo,,2,Parma
30/09/2022 23:10,204,4194E4BE6,06. Ponte di Mezzo,,Prelievo senza autorizzazione,,9,Parma
30/09/2022 23:08,204,4194E4BE6,06. Ponte di Mezzo,,Prelievo senza autorizzazione,,9,Parma
30/09/2022 23:05,197,4194E42C9,13. Borgo XX Marzo,952398,Errore colonnina durante il prelievo,,1,Parma
30/09/2022 23:05,197,4194E42C9,13. Borgo XX Marzo,952398,Richiesta prelievo,,1,Parma
30/09/2022 23:05,197,4194E42C9,13. Borgo XX Marzo,952398,Riconsegna diretta,,1,Parma
30/09/2022 23:03,261,419F6E747,14. Garibaldi,571787,Riconsegna diretta,,2,Parma
30/09/2022 22:59,206,4194E7434,14. Garibaldi,20228033,Riconsegna diretta,,1,Parma
30/09/2022 22:58,230,419F6EEC9,07. Santa Croce,20228950,Riconsegna diretta,,9,Parma
30/09/2022 22:58,261,419F6E747,32. Stadio,571787,Prelievo corretto,,2,Parma
30/09/2022 22:58,261,419F6E747,32. Stadio,571787,Richiesta prelievo,,2,Parma
30/09/2022 22:57,42,417A7969D,05. Stazione FF.SS.,251212,Prelievo corretto,,17,Parma
30/09/2022 22:57,42,417A7969D,05. Stazione FF.SS.,251212,Richiesta prelievo,,17,Parma
30/09/2022 22:56,204,4194E4BE6,06. Ponte di Mezzo,,Prelievo senza autorizzazione,,9,Parma
30/09/2022 22:55,230,419F6EEC9,25. Ospedale • viale Osacca,20228950,Prelievo corretto,,2,Parma
30/09/2022 22:55,230,419F6EEC9,25. Ospedale • viale Osacca,20228950,Richiesta prelievo,,2,Parma
30/09/2022 22:52,204,4194E4BE6,06. Ponte di Mezzo,,Prelievo senza autorizzazione,,9,Parma
30/09/2022 22:51,206,4194E7434,25. Ospedale • viale Osacca,20228033,Prelievo corretto,,4,Parma
30/09/2022 22:51,206,4194E7434,25. Ospedale • viale Osacca,20228033,Richiesta prelievo,,4,Parma
30/09/2022 22:50,204,4194E4BE6,06. Ponte di Mezzo,,Prelievo senza autorizzazione,,9,Parma
30/09/2022 22:49,260,419F71ADA,14. Garibaldi,20230322,Errore colonnina durante il deposito,,3,Parma
30/09/2022 22:49,204,4194E4BE6,06. Ponte di Mezzo,,Prelievo senza autorizzazione,,9,Parma
30/09/2022 22:48,297,000B77A7B,14. Garibaldi,20230322,Numero massimo di bici raggiunto,,8,Parma
30/09/2022 22:48,146,41871FF17,14. Garibaldi,20230322,Numero massimo di bici raggiunto,,7,Parma
30/09/2022 22:48,260,419F71ADA,14. Garibaldi,20230322,Prelievo corretto,,3,Parma
