Data/Ora,N Bici,Tag Bici,Stazione,Badge,Azione,Dismessa,Col.,Comune
12/31/2022 23:52,271,C009D283C,06. Ponte di Mezzo,699695,Riconsegna diretta,,3,Parma
12/31/2022 23:52,36,417A79A26,06. Ponte di Mezzo,795680,Riconsegna diretta,,6,Parma
12/31/2022 23:43,271,C009D283C,31. Lauro Grossi,699695,Prelievo corretto,,8,Parma
12/31/2022 23:43,271,C009D283C,31. Lauro Grossi,699695,Richiesta prelievo,,8,Parma
12/31/2022 23:43,36,417A79A26,31. Lauro Grossi,795680,Prelievo corretto,,7,Parma
12/31/2022 23:43,36,417A79A26,31. Lauro Grossi,795680,Richiesta prelievo,,7,Parma
12/31/2022 23:13,32,417A7A1E6,06. Ponte di Mezzo,20257751,Mancato prelievo,,3,Parma
12/31/2022 23:13,32,417A7A1E6,06. Ponte di Mezzo,20257751,Richiesta prelievo,,3,Parma
12/31/2022 22:27,64,417A7CE23,06. Ponte di Mezzo,20257751,Riconsegna diretta,,8,Parma
12/31/2022 22:18,64,417A7CE23,02. Ospedale Maggiore,20257751,Prelievo corretto,,2,Parma
12/31/2022 22:18,64,417A7CE23,02. Ospedale Maggiore,20257751,Richiesta prelievo,,2,Parma
12/31/2022 21:00,264,419F6EC01,18. Crocetta,468886,Riconsegna diretta,,7,Parma
12/31/2022 21:00,283,C009D397E,18. Crocetta,638709,Riconsegna diretta,,2,Parma
12/31/2022 20:51,283,C009D397E,25. Ospedale • viale Osacca,638709,Prelievo corretto,,7,Parma
12/31/2022 20:50,283,C009D397E,25. Ospedale • viale Osacca,638709,Richiesta prelievo,,7,Parma
12/31/2022 20:50,264,419F6EC01,25. Ospedale • viale Osacca,468886,Prelievo corretto,,6,Parma
12/31/2022 20:50,264,419F6EC01,25. Ospedale • viale Osacca,468886,Richiesta prelievo,,6,Parma
12/31/2022 20:44,92,418720205,18. Crocetta,20105841,Riconsegna diretta,,5,Parma
12/31/2022 20:16,92,418720205,10. Barilla Center,20105841,Prelievo corretto,,3,Parma
12/31/2022 20:16,92,418720205,10. Barilla Center,20105841,Richiesta prelievo,,3,Parma
12/31/2022 20:16,94,418720B38,10. Barilla Center,20105841,Riconsegna diretta,,8,Parma
12/31/2022 20:15,94,418720B38,10. Barilla Center,20105841,Prelievo corretto,,8,Parma
12/31/2022 20:15,94,418720B38,10. Barilla Center,20105841,Richiesta prelievo,,8,Parma
12/31/2022 19:47,165,4194E3089,13. Borgo XX Marzo,342477,Prelievo corretto,,8,Parma
12/31/2022 19:47,165,4194E3089,13. Borgo XX Marzo,342477,Richiesta prelievo,,8,Parma
12/31/2022 19:43,264,419F6EC01,25. Ospedale • viale Osacca,468886,Riconsegna diretta,,6,Parma
12/31/2022 19:43,283,C009D397E,25. Ospedale • viale Osacca,638709,Riconsegna diretta,,7,Parma
12/31/2022 19:32,119,41872215D,15. Repubblica,20230310,Riconsegna diretta,,1,Parma
12/31/2022 19:28,283,C009D397E,18. Crocetta,638709,Prelievo corretto,,5,Parma
12/31/2022 19:28,283,C009D397E,18. Crocetta,638709,Richiesta prelievo,,5,Parma
12/31/2022 19:28,264,419F6EC01,18. Crocetta,468886,Prelievo corretto,,8,Parma
12/31/2022 19:28,264,419F6EC01,18. Crocetta,468886,Richiesta prelievo,,8,Parma
12/31/2022 19:22,119,41872215D,08. Bixio,20230310,Prelievo corretto,,2,Parma
