Data/Ora,N Bici,Tag Bici,Stazione,Badge,Azione,Dismessa,Col.,Comune
11/30/2022 23:49,251,419F6EC72,20. Efsa,20228925,Riconsegna diretta,,8,Parma
11/30/2022 23:46,6,417A7D1F6,06. Ponte di Mezzo,133899,Riconsegna diretta,,6,Parma
11/30/2022 23:43,251,419F6EC72,07. Santa Croce,20228925,Prelievo corretto,,2,Parma
11/30/2022 23:43,251,419F6EC72,07. Santa Croce,20228925,Richiesta prelievo,,2,Parma
11/30/2022 23:42,250,419F7124B,12. Barezzi,20228033,Errore colonnina durante il deposito,,6,Parma
11/30/2022 23:39,6,417A7D1F6,38. Stazione FF.SS. 2,133899,Prelievo corretto,,5,Parma
11/30/2022 23:39,6,417A7D1F6,38. Stazione FF.SS. 2,133899,Richiesta prelievo,,5,Parma
11/30/2022 23:34,250,419F7124B,25. Ospedale • viale Osacca,20228033,Prelievo corretto,,7,Parma
11/30/2022 23:34,250,419F7124B,25. Ospedale • viale Osacca,20228033,Richiesta prelievo,,7,Parma
11/30/2022 23:16,138,418722D3E,34. Ospedale • via Volturno,532419,Riconsegna diretta,,6,Parma
11/30/2022 23:13,259,419F6EAC7,28. Bizzozero,20257675,Riconsegna diretta,,2,Parma
11/30/2022 23:05,138,418722D3E,16. Toschi,532419,Prelievo corretto,,9,Parma
11/30/2022 23:05,138,418722D3E,16. Toschi,532419,Richiesta prelievo,,9,Parma
11/30/2022 23:04,259,419F6EAC7,14. Garibaldi,20257675,Prelievo corretto,,10,Parma
11/30/2022 23:04,259,419F6EAC7,14. Garibaldi,20257675,Richiesta prelievo,,10,Parma
11/30/2022 22:59,302,000B73D23,32. Stadio,20230358,Riconsegna diretta,,8,Parma
11/30/2022 22:52,271,C009D283C,01. Duc,20230357,Mancato prelievo,,1,Parma
11/30/2022 22:52,302,000B73D23,01. Duc,20230358,Prelievo corretto,,5,Parma
11/30/2022 22:52,302,000B73D23,01. Duc,20230358,Richiesta prelievo,,5,Parma
11/30/2022 22:52,271,C009D283C,01. Duc,20230357,Richiesta prelievo,,1,Parma
11/30/2022 22:46,230,419F6EEC9,23. Vittoria,20264278,Riconsegna diretta,,2,Parma
11/30/2022 22:43,209,4194E67B1,16. Toschi,20173306,Riconsegna diretta,,7,Parma
11/30/2022 22:39,230,419F6EEC9,02. Ospedale Maggiore,20264278,Prelievo corretto,,5,Parma
11/30/2022 22:39,230,419F6EEC9,02. Ospedale Maggiore,20264278,Richiesta prelievo,,5,Parma
11/30/2022 22:37,209,4194E67B1,09. Farini,20173306,Errore colonnina durante il prelievo,,2,Parma
11/30/2022 22:37,209,4194E67B1,09. Farini,20173306,Richiesta prelievo,,2,Parma
11/30/2022 22:19,234,419F7123C,11. Dus,952398,Errore colonnina durante il deposito,,3,Parma
11/30/2022 22:06,234,419F7123C,39. Rustici,952398,Prelievo corretto,,3,Parma
11/30/2022 22:06,1,0,39. Rustici,952398,Richiesta prelievo,,3,Parma
11/30/2022 21:59,329,0004394F0,08. Bixio,230778,Riconsegna diretta,,3,Parma
11/30/2022 21:56,271,C009D283C,01. Duc,20257749,Riconsegna diretta,,1,Parma
11/30/2022 21:51,329,0004394F0,38. Stazione FF.SS. 2,230778,Prelievo corretto,,7,Parma
11/30/2022 21:51,329,0004394F0,38. Stazione FF.SS. 2,230778,Richiesta prelievo,,7,Parma
11/30/2022 21:46,271,C009D283C,46. Lubiana,20257749,Prelievo corretto,,5,Parma
11/30/2022 21:46,271,C009D283C,46. Lubiana,20257749,Richiesta prelievo,,5,Parma
11/30/2022 21:45,271,C009D283C,46. Lubiana,20257749,Mancato prelievo,,5,Parma
11/30/2022 21:45,271,C009D283C,46. Lubiana,20257749,Richiesta prelievo,,5,Parma
11/30/2022 21:43,92,418720205,17. Rondani,20230303,Riconsegna diretta,,7,Parma
11/30/2022 21:37,92,418720205,13. Borgo XX Marzo,20230303,Prelievo corretto,,7,Parma
11/30/2022 21:37,92,418720205,13. Borgo XX Marzo,20230303,Richiesta prelievo,,7,Parma
11/30/2022 21:35,61,417A7AB05,21. Kennedy,570983,Errore colonnina durante il deposito,,9,Parma
11/30/2022 21:33,61,417A7AB05,07. Santa Croce,570983,Prelievo corretto,,1,Parma
11/30/2022 21:32,61,417A7AB05,07. Santa Croce,570983,Richiesta prelievo,,1,Parma
11/30/2022 21:30,265,419F6D561,21. Kennedy,20242910,Riconsegna diretta,,5,Parma
11/30/2022 21:26,265,419F6D561,16. Toschi,20242910,Prelievo corretto,,4,Parma
11/30/2022 21:26,265,419F6D561,16. Toschi,20242910,Richiesta prelievo,,4,Parma
11/30/2022 21:24,302,000B73D23,01. Duc,532419,Riconsegna diretta,,5,Parma
11/30/2022 21:21,147,418721B79,33. Cavagnari,124672,Riconsegna diretta,,7,Parma
11/30/2022 21:18,295,000B73DBA,25. Ospedale • viale Osacca,20230358,Riconsegna diretta,,5,Parma
11/30/2022 21:11,302,000B73D23,02. Ospedale Maggiore,532419,Prelievo corretto,,2,Parma
11/30/2022 21:11,302,000B73D23,02. Ospedale Maggiore,532419,Richiesta prelievo,,2,Parma
11/30/2022 21:09,295,000B73DBA,38. Stazione FF.SS. 2,20230358,Prelievo corretto,,10,Parma
11/30/2022 21:09,295,000B73DBA,38. Stazione FF.SS. 2,20230358,Richiesta prelievo,,10,Parma
11/30/2022 21:05,147,418721B79,38. Stazione FF.SS. 2,124672,Prelievo corretto,,9,Parma
11/30/2022 21:05,147,418721B79,38. Stazione FF.SS. 2,124672,Richiesta prelievo,,9,Parma
11/30/2022 20:45,163,4194E58D0,03. Traversetolo,20230126,Riconsegna diretta,,10,Parma
11/30/2022 20:43,254,419F6EB7E,06. Ponte di Mezzo,20230183,Riconsegna diretta,,9,Parma
11/30/2022 20:40,254,419F6EB7E,14. Garibaldi,20228099,Mancato prelievo,,2,Parma
11/30/2022 20:39,254,419F6EB7E,14. Garibaldi,20228099,Richiesta prelievo,,2,Parma
11/30/2022 20:36,163,4194E58D0,46. Lubiana,20230126,Prelievo corretto,,9,Parma
11/30/2022 20:36,163,4194E58D0,46. Lubiana,20230126,Richiesta prelievo,,9,Parma
11/30/2022 20:29,277,00043B495,02. Ospedale Maggiore,20230139,Riconsegna diretta,,4,Parma
11/30/2022 20:29,307,C009D2E88,41. Carmignani,20230018,Errore colonnina durante il deposito,,2,Parma
11/30/2022 20:22,254,419F6EB7E,14. Garibaldi,20230183,Numero massimo di bici raggiunto,,2,Parma
11/30/2022 20:21,254,419F6EB7E,14. Garibaldi,20230183,Numero massimo di bici raggiunto,,2,Parma
11/30/2022 20:21,254,419F6EB7E,14. Garibaldi,20230183,Numero massimo di bici raggiunto,,2,Parma
11/30/2022 20:19,254,419F6EB7E,14. Garibaldi,20230183,Numero massimo di bici raggiunto,,2,Parma
11/30/2022 20:19,277,00043B495,38. Stazione FF.SS. 2,20230139,Prelievo corretto,,8,Parma
11/30/2022 20:19,277,00043B495,38. Stazione FF.SS. 2,20230139,Richiesta prelievo,,8,Parma
11/30/2022 20:18,254,419F6EB7E,14. Garibaldi,20230183,Numero massimo di bici raggiunto,,2,Parma
11/30/2022 20:17,245,419F6EC89,17. Rondani,660661,Errore colonnina durante il prelievo,,6,Parma
11/30/2022 20:16,245,419F6EC89,17. Rondani,660661,Richiesta prelievo,,6,Parma
11/30/2022 20:16,254,419F6EB7E,14. Garibaldi,20230183,Numero massimo di bici raggiunto,,2,Parma
11/30/2022 20:16,254,419F6EB7E,14. Garibaldi,20230183,Numero massimo di bici raggiunto,,2,Parma
11/30/2022 20:15,307,C009D2E88,26. Palasport,20230018,Prelievo corretto,,6,Parma
11/30/2022 20:15,307,C009D2E88,26. Palasport,20230018,Richiesta prelievo,,6,Parma
11/30/2022 20:14,224,419F6EA3B,21. Kennedy,20228925,Riconsegna diretta,,3,Parma
11/30/2022 20:11,116,41872033F,05. Stazione FF.SS.,249240,Riconsegna diretta,,13,Parma
11/30/2022 20:11,94,418720B38,05. Stazione FF.SS.,440655,Errore colonnina durante il deposito,,16,Parma
11/30/2022 20:11,235,419F6EB42,21. Kennedy,20230205,Errore colonnina durante il deposito,,4,Parma
11/30/2022 20:07,116,41872033F,06. Ponte di Mezzo,249240,Prelievo corretto,,6,Parma
11/30/2022 20:07,116,41872033F,06. Ponte di Mezzo,249240,Richiesta prelievo,,6,Parma
11/30/2022 20:06,94,418720B38,06. Ponte di Mezzo,440655,Prelievo corretto,,9,Parma
11/30/2022 20:06,1,0,06. Ponte di Mezzo,440655,Richiesta prelievo,,9,Parma
11/30/2022 20:05,235,419F6EB42,38. Stazione FF.SS. 2,20230205,Prelievo corretto,,2,Parma
11/30/2022 20:05,235,419F6EB42,38. Stazione FF.SS. 2,20230205,Richiesta prelievo,,2,Parma
11/30/2022 20:05,303,C009D30CC,20. Efsa,366305,Riconsegna diretta,,2,Parma
11/30/2022 20:04,136,41871F83F,37. Campus Mensa,20236288,Riconsegna diretta,,10,Parma
11/30/2022 20:04,254,419F6EB7E,05. Stazione FF.SS.,20230183,Prelievo corretto,,13,Parma
11/30/2022 20:04,254,419F6EB7E,05. Stazione FF.SS.,20230183,Richiesta prelievo,,13,Parma
11/30/2022 20:03,234,419F7123C,39. Rustici,952398,Riconsegna diretta,,3,Parma
11/30/2022 20:03,169,4194E2C39,38. Stazione FF.SS. 2,20230183,Riconsegna diretta,,11,Parma
11/30/2022 20:03,169,4194E2C39,38. Stazione FF.SS. 2,20230183,Prelievo corretto,,11,Parma
11/30/2022 20:03,169,4194E2C39,38. Stazione FF.SS. 2,20230183,Richiesta prelievo,,11,Parma
11/30/2022 20:02,224,419F6EA3B,38. Stazione FF.SS. 2,20228925,Prelievo corretto,,1,Parma
11/30/2022 20:02,224,419F6EA3B,38. Stazione FF.SS. 2,20228925,Richiesta prelievo,,1,Parma
11/30/2022 20:01,328,000B72087,23. Vittoria,20218559,Riconsegna diretta,,1,Parma
11/30/2022 19:57,303,C009D30CC,06. Ponte di Mezzo,366305,Prelievo corretto,,8,Parma
11/30/2022 19:57,303,C009D30CC,06. Ponte di Mezzo,366305,Richiesta prelievo,,8,Parma
11/30/2022 19:56,211,419F6EEA8,32. Stadio,669156,Riconsegna diretta,,6,Parma
11/30/2022 19:55,328,000B72087,02. Ospedale Maggiore,20218559,Prelievo corretto,,10,Parma
11/30/2022 19:55,328,000B72087,02. Ospedale Maggiore,20218559,Richiesta prelievo,,10,Parma
11/30/2022 19:53,230,419F6EEC9,02. Ospedale Maggiore,2114602570,Riconsegna diretta,,5,Parma
11/30/2022 19:49,230,419F6EEC9,07. Santa Croce,2114602570,Prelievo corretto,,11,Parma
11/30/2022 19:49,230,419F6EEC9,07. Santa Croce,2114602570,Richiesta prelievo,,11,Parma
11/30/2022 19:48,234,419F7123C,01. Duc,952398,Prelievo corretto,,7,Parma
11/30/2022 19:48,1,0,01. Duc,,Prelievo senza autorizzazione,,6,Parma
11/30/2022 19:48,234,419F7123C,01. Duc,952398,Richiesta prelievo,,7,Parma
11/30/2022 19:47,211,419F6EEA8,03. Traversetolo,669156,Prelievo corretto,,1,Parma
11/30/2022 19:47,211,419F6EEA8,03. Traversetolo,669156,Richiesta prelievo,,1,Parma
11/30/2022 19:36,136,41871F83F,26. Palasport,20236288,Prelievo corretto,,3,Parma
11/30/2022 19:35,136,41871F83F,26. Palasport,20236288,Richiesta prelievo,,3,Parma
11/30/2022 19:29,209,4194E67B1,09. Farini,20173306,Riconsegna diretta,,2,Parma
11/30/2022 19:26,316,700DFB3FE,29. Villetta,20230007,Riconsegna diretta,,3,Parma
11/30/2022 19:25,136,41871F83F,26. Palasport,20236288,Riconsegna diretta,,3,Parma
11/30/2022 19:17,136,41871F83F,25. Ospedale • viale Osacca,20236288,Prelievo corretto,,2,Parma
11/30/2022 19:17,136,41871F83F,25. Ospedale • viale Osacca,20236288,Richiesta prelievo,,2,Parma
11/30/2022 19:17,136,41871F83F,25. Ospedale • viale Osacca,20236288,Errore colonnina durante il prelievo,,2,Parma
11/30/2022 19:16,136,41871F83F,25. Ospedale • viale Osacca,20236288,Richiesta prelievo,,2,Parma
11/30/2022 19:16,136,41871F83F,25. Ospedale • viale Osacca,20236288,Mancato prelievo,,2,Parma
11/30/2022 19:16,136,41871F83F,25. Ospedale • viale Osacca,20236288,Richiesta prelievo,,2,Parma
11/30/2022 19:16,209,4194E67B1,05. Stazione FF.SS.,20173306,Prelievo corretto,,20,Parma
11/30/2022 19:16,209,4194E67B1,05. Stazione FF.SS.,20173306,Richiesta prelievo,,20,Parma
11/30/2022 19:16,316,700DFB3FE,35. Marsala,20230007,Prelievo corretto,,3,Parma
11/30/2022 19:16,316,700DFB3FE,35. Marsala,20230007,Richiesta prelievo,,3,Parma
11/30/2022 19:16,85,417A78C9F,38. Stazione FF.SS. 2,2114590545,Riconsegna diretta,,14,Parma
11/30/2022 19:14,298,000B77A4C,14. Garibaldi,560381,Mancato prelievo,,2,Parma
11/30/2022 19:14,298,000B77A4C,14. Garibaldi,560381,Richiesta prelievo,,2,Parma
11/30/2022 19:12,6,417A7D1F6,38. Stazione FF.SS. 2,20212481,Riconsegna diretta,,5,Parma
11/30/2022 19:11,230,419F6EEC9,07. Santa Croce,2114602570,Riconsegna diretta,,11,Parma
11/30/2022 19:09,116,41872033F,06. Ponte di Mezzo,883907,Riconsegna diretta,,6,Parma
11/30/2022 19:09,251,419F6EC72,07. Santa Croce,20230298,Errore colonnina durante il deposito,,2,Parma
11/30/2022 19:09,85,417A78C9F,25. Ospedale • viale Osacca,2114590545,Prelievo corretto,,5,Parma
11/30/2022 19:09,85,417A78C9F,25. Ospedale • viale Osacca,2114590545,Richiesta prelievo,,5,Parma
11/30/2022 19:05,336,C009D38BE,38. Stazione FF.SS. 2,20228925,Riconsegna diretta,,26,Parma
11/30/2022 19:04,251,419F6EC72,14. Garibaldi,20230298,Prelievo corretto,,8,Parma
11/30/2022 19:04,251,419F6EC72,14. Garibaldi,20230298,Richiesta prelievo,,8,Parma
11/30/2022 19:04,215,419F6D11B,30. Auditorium Paganini,20266221,Riconsegna diretta,,6,Parma
11/30/2022 19:04,6,417A7D1F6,21. Kennedy,20212481,Prelievo corretto,,5,Parma
11/30/2022 19:04,6,417A7D1F6,21. Kennedy,20212481,Richiesta prelievo,,5,Parma
11/30/2022 19:03,230,419F6EEC9,38. Stazione FF.SS. 2,2114602570,Prelievo corretto,,14,Parma
11/30/2022 19:03,230,419F6EEC9,38. Stazione FF.SS. 2,2114602570,Richiesta prelievo,,14,Parma
11/30/2022 19:02,121,4187249D2,15. Repubblica,20230179,Riconsegna diretta,,9,Parma
11/30/2022 19:00,215,419F6D11B,11. Dus,20266221,Prelievo corretto,,5,Parma
11/30/2022 19:00,215,419F6D11B,11. Dus,20266221,Richiesta prelievo,,5,Parma
11/30/2022 18:54,121,4187249D2,21. Kennedy,20230179,Prelievo corretto,,8,Parma
11/30/2022 18:54,121,4187249D2,21. Kennedy,20230179,Richiesta prelievo,,8,Parma
11/30/2022 18:53,234,419F7123C,32. Stadio,573722,Riconsegna off line,,8,Parma
11/30/2022 18:49,,C009D2E5B,20. Efsa,20230305,Riconsegna off line,,2,Parma
11/30/2022 18:48,290,436918,28. Bizzozero,20236175,Riconsegna diretta,,4,Parma
11/30/2022 18:47,251,419F6EC72,14. Garibaldi,20228099,Riconsegna diretta,,8,Parma
11/30/2022 18:44,234,419F7123C,45. Passo della Cisa,573722,Prelievo corretto,,7,Parma
11/30/2022 18:44,234,419F7123C,45. Passo della Cisa,573722,Richiesta prelievo,,7,Parma
11/30/2022 18:43,215,419F6D11B,11. Dus,952398,Riconsegna diretta,,5,Parma
11/30/2022 18:43,116,41872033F,34. Ospedale • via Volturno,883907,Prelievo corretto,,6,Parma
11/30/2022 18:43,310,00043B12C,41. Carmignani,20257988,Riconsegna diretta,,7,Parma
11/30/2022 18:43,116,41872033F,34. Ospedale • via Volturno,883907,Richiesta prelievo,,6,Parma
11/30/2022 18:41,251,419F6EC72,38. Stazione FF.SS. 2,20228099,Prelievo corretto,,5,Parma
11/30/2022 18:41,251,419F6EC72,38. Stazione FF.SS. 2,20228099,Richiesta prelievo,,5,Parma
11/30/2022 18:39,336,C009D38BE,21. Kennedy,20228925,Prelievo corretto,,1,Parma
