Data/Ora,N Bici,Tag Bici,Stazione,Badge,Azione,Dismessa,Col.,Comune
10/31/2022 23:55,256,419F6E67E,06. Ponte di Mezzo,20230258,Prelievo corretto,,7,Parma
10/31/2022 23:55,256,419F6E67E,06. Ponte di Mezzo,20230258,Richiesta prelievo,,7,Parma
10/31/2022 23:55,146,41871FF17,06. Ponte di Mezzo,20230258,Riconsegna diretta,,9,Parma
10/31/2022 23:55,146,41871FF17,06. Ponte di Mezzo,20230258,Errore colonnina durante il prelievo,,9,Parma
10/31/2022 23:55,146,41871FF17,06. Ponte di Mezzo,20230258,Richiesta prelievo,,9,Parma
10/31/2022 23:52,92,418720205,14. Garibaldi,20230112,Errore colonnina durante il prelievo,,1,Parma
10/31/2022 23:52,92,418720205,14. Garibaldi,20230112,Richiesta prelievo,,1,Parma
10/31/2022 23:51,129,418723F02,14. Garibaldi,20230112,Riconsegna diretta,,5,Parma
10/31/2022 23:50,297,000B77A7B,25. Ospedale • viale Osacca,20239175,Riconsegna diretta,,1,Parma
10/31/2022 23:50,129,418723F02,14. Garibaldi,20230112,Prelievo corretto,,5,Parma
10/31/2022 23:50,129,418723F02,14. Garibaldi,20230112,Richiesta prelievo,,5,Parma
10/31/2022 23:50,336,C009D38BE,14. Garibaldi,20230113,Prelievo corretto,,7,Parma
10/31/2022 23:50,336,C009D38BE,14. Garibaldi,20230113,Richiesta prelievo,,7,Parma
10/31/2022 23:49,334,000B75D92,14. Garibaldi,20230306,Prelievo corretto,,3,Parma
10/31/2022 23:49,334,000B75D92,14. Garibaldi,20230306,Richiesta prelievo,,3,Parma
10/31/2022 23:48,187,4194E68D3,08. Bixio,20244118,Riconsegna diretta,,4,Parma
10/31/2022 23:42,187,4194E68D3,26. Palasport,20244118,Prelievo corretto,,6,Parma
10/31/2022 23:42,187,4194E68D3,26. Palasport,20244118,Richiesta prelievo,,6,Parma
10/31/2022 23:36,297,000B77A7B,05. Stazione FF.SS.,20239175,Prelievo corretto,,14,Parma
10/31/2022 23:36,297,000B77A7B,05. Stazione FF.SS.,20239175,Richiesta prelievo,,14,Parma
10/31/2022 23:28,237,419F6E931,27. Ostello Gioventù,645378,Riconsegna diretta,,6,Parma
10/31/2022 23:20,132,41872342E,13. Borgo XX Marzo,410641,Riconsegna diretta,,8,Parma
10/31/2022 23:16,75,417A79669,14. Garibaldi,503876,Riconsegna diretta,,10,Parma
10/31/2022 23:11,237,419F6E931,09. Farini,645378,Prelievo corretto,,1,Parma
10/31/2022 23:11,237,419F6E931,09. Farini,645378,Richiesta prelievo,,1,Parma
10/31/2022 23:10,75,417A79669,07. Santa Croce,503876,Prelievo corretto,,11,Parma
10/31/2022 23:10,75,417A79669,07. Santa Croce,503876,Richiesta prelievo,,11,Parma
10/31/2022 23:09,132,41872342E,07. Santa Croce,410641,Prelievo corretto,,8,Parma
10/31/2022 23:09,282,000B76DFB,07. Santa Croce,503876,Errore colonnina durante il prelievo,,14,Parma
10/31/2022 23:09,1,0,07. Santa Croce,410641,Richiesta prelievo,,8,Parma
10/31/2022 23:09,282,000B76DFB,07. Santa Croce,503876,Richiesta prelievo,,14,Parma
10/31/2022 23:09,84,417A7AA4D,09. Farini,645378,Errore colonnina durante il prelievo,,3,Parma
10/31/2022 23:09,84,417A7AA4D,09. Farini,645378,Richiesta prelievo,,3,Parma
10/31/2022 23:04,295,000B73DBA,25. Ospedale • viale Osacca,410641,Errore colonnina durante il prelievo,,13,Parma
10/31/2022 23:04,295,000B73DBA,25. Ospedale • viale Osacca,410641,Richiesta prelievo,,13,Parma
10/31/2022 23:03,295,000B73DBA,25. Ospedale • viale Osacca,410641,Errore colonnina durante il prelievo,,13,Parma
10/31/2022 23:03,295,000B73DBA,25. Ospedale • viale Osacca,410641,Richiesta prelievo,,13,Parma
10/31/2022 23:00,262,419F6EC5F,32. Stadio,2114587250,Riconsegna off line,,8,Parma
10/31/2022 22:55,200,418DBF127,05. Stazione FF.SS.,378037,Riconsegna diretta,,19,Parma
10/31/2022 22:53,189,4194E5194,02. Ospedale Maggiore,971479,Riconsegna diretta,,4,Parma
10/31/2022 22:53,169,4194E2C39,02. Ospedale Maggiore,20202891,Riconsegna diretta,,3,Parma
10/31/2022 22:51,1,0,25. Ospedale • viale Osacca,,Prelievo senza autorizzazione,,3,Parma
10/31/2022 22:51,1,0,25. Ospedale • viale Osacca,,Prelievo senza autorizzazione,,1,Parma
10/31/2022 22:51,1,0,25. Ospedale • viale Osacca,,Prelievo senza autorizzazione,,3,Parma
10/31/2022 22:51,1,0,25. Ospedale • viale Osacca,,Prelievo senza autorizzazione,,1,Parma
10/31/2022 22:51,1,0,25. Ospedale • viale Osacca,,Prelievo senza autorizzazione,,3,Parma
10/31/2022 22:51,1,0,25. Ospedale • viale Osacca,,Prelievo senza autorizzazione,,1,Parma
10/31/2022 22:51,1,0,25. Ospedale • viale Osacca,,Prelievo senza autorizzazione,,3,Parma
10/31/2022 22:51,1,0,25. Ospedale • viale Osacca,,Prelievo senza autorizzazione,,1,Parma
